Vorname_Nachname;Nachname;Vorname;Geschlecht;Fraktion
Ruprecht Polenz;Polenz;Ruprecht;m;CDU/CSU
Jörg von Polheim;von Polheim;Jörg;m;FDP
Eckhard Pols;Pols;Eckhard;m;CDU/CSU
Joachim Poß;Poß;Joachim;m;SPD
Brigitte Pothmer;Pothmer;Brigitte;f;BÜNDNIS 90/DIE GRÜNEN
Wilhelm Priesmeier;Priesmeier;Wilhelm;m;SPD
Florian Pronold;Pronold;Florian;m;SPD
Lucia Puttrich;Puttrich;Lucia;f;CDU/CSU
Sascha Raabe;Raabe;Sascha;m;SPD
Thomas Rachel;Rachel;Thomas;m;CDU/CSU
Peter Ramsauer;Ramsauer;Peter;m;CDU/CSU
Christiane Ratjen-Damerau;Ratjen-Damerau;Christiane;f;FDP
Mechthild Rawert;Rawert;Mechthild;f;SPD
Stefan Rebmann;Rebmann;Stefan;m;SPD
Eckhardt Rehberg;Rehberg;Eckhardt;m;CDU/CSU
Katherina Reiche;Reiche;Katherina;f;CDU/CSU
Gerold Reichenbach;Reichenbach;Gerold;m;SPD
Carola Reimann;Reimann;Carola;f;SPD
Birgit Reinemund;Reinemund;Birgit;f;FDP
Hagen Reinhold;Reinhold;Hagen;m;FDP
Ingrid Lieselotte Remmers;Remmers;Ingrid Lieselotte;f;DIE LINKE
Lothar Riebsamen;Riebsamen;Lothar;m;CDU/CSU
Josef Rief;Rief;Josef;m;CDU/CSU
Klaus Riegert;Riegert;Klaus;m;CDU/CSU
Heinz Riesenhuber;Riesenhuber;Heinz;m;CDU/CSU
Sönke Rix;Rix;Sönke;m;SPD
Peter Röhlinger;Röhlinger;Peter;m;FDP
Johannes Röring;Röring;Johannes;m;CDU/CSU
René Röspel;Röspel;René;m;SPD
Ernst Dieter Rossmann;Rossmann;Ernst Dieter;m;SPD
Tabea Rößner;Rößner;Tabea;f;BÜNDNIS 90/DIE GRÜNEN
Claudia Roth;Roth;Claudia;f;BÜNDNIS 90/DIE GRÜNEN
Karin Roth;Roth;Karin;f;SPD
Michael Roth;Roth;Michael;m;SPD
Norbert Röttgen;Röttgen;Norbert;m;CDU/CSU
Christian Ruck;Ruck;Christian;m;CDU/CSU
Erwin Rüddel;Rüddel;Erwin;m;CDU/CSU
Stefan Ruppert;Ruppert;Stefan;m;FDP
Albert Rupprecht;Rupprecht;Albert;m;CDU/CSU
Marlene Rupprecht;Rupprecht;Marlene;f;SPD
Krista Sager;Sager;Krista;f;BÜNDNIS 90/DIE GRÜNEN
Björn Sänger;Sänger;Björn;m;FDP
Manuel Sarrazin;Sarrazin;Manuel;m;BÜNDNIS 90/DIE GRÜNEN
Annette Sawade;Sawade;Annette;f;SPD
Anton Schaaf;Schaaf;Anton;m;SPD
Anita Schäfer;Schäfer;Anita;f;CDU/CSU
Axel Schäfer;Schäfer;Axel;m;SPD
Paul Schäfer;Schäfer;Paul;m;DIE LINKE
Frank Schäffler;Schäffler;Frank;m;FDP
Elisabeth Scharfenberg;Scharfenberg;Elisabeth;f;BÜNDNIS 90/DIE GRÜNEN
Wolfgang Schäuble;Schäuble;Wolfgang;m;CDU/CSU
Annette Schavan;Schavan;Annette;f;CDU/CSU
Christine Scheel;Scheel;Christine;f;BÜNDNIS 90/DIE GRÜNEN
Bernd Scheelen;Scheelen;Bernd;m;SPD
Hermann Scheer;Scheer;Hermann;m;SPD
Andreas Scheuer;Scheuer;Andreas;m;CDU/CSU
Gerhard Schick;Schick;Gerhard;m;BÜNDNIS 90/DIE GRÜNEN
Marianne Schieder;Schieder;Marianne;f;SPD
Werner Schieder;Schieder;Werner;m;SPD
Karl Schiewerling;Schiewerling;Karl;m;CDU/CSU
Norbert Schindler;Schindler;Norbert;m;CDU/CSU
Tankred Schipanski;Schipanski;Tankred;m;CDU/CSU
Georg Schirmbeck;Schirmbeck;Georg;m;CDU/CSU
Michael Schlecht;Schlecht;Michael;m;DIE LINKE
Christian Schmidt;Schmidt;Christian;m;CDU/CSU
Frithjof Schmidt;Schmidt;Frithjof;m;BÜNDNIS 90/DIE GRÜNEN
Silvia Schmidt;Schmidt;Silvia;f;SPD
Ulla Schmidt;Schmidt;Ulla;f;SPD
Carsten Schneider;Schneider;Carsten;m;SPD
Ulrich Schneider;Schneider;Ulrich;m;BÜNDNIS 90/DIE GRÜNEN
Patrick Schnieder;Schnieder;Patrick;m;CDU/CSU
Christoph Schnurr;Schnurr;Christoph;m;FDP
Andreas Schockenhoff;Schockenhoff;Andreas;m;CDU/CSU
Olaf Scholz;Scholz;Olaf;m;SPD
Nadine Schön;Schön;Nadine;f;CDU/CSU
Ottmar Schreiner;Schreiner;Ottmar;m;SPD
Kristina Schröder;Schröder;Kristina;f;CDU/CSU
Ole Schröder;Schröder;Ole;m;CDU/CSU
Herbert Schui;Schui;Herbert;m;DIE LINKE
Bernhard Schulte-Drüggelte;Schulte-Drüggelte;Bernhard;m;CDU/CSU
Jimmy Schulz;Schulz;Jimmy;m;FDP
Swen Schulz;Schulz;Swen;m;SPD
Uwe Schummer;Schummer;Uwe;m;CDU/CSU
Ewald Schurer;Schurer;Ewald;m;SPD
Armin Schuster;Schuster;Armin;m;CDU/CSU
Marina Schuster;Schuster;Marina;f;FDP
Frank Schwabe;Schwabe;Frank;m;SPD
Angelica Schwall-Düren;Schwall-Düren;Angelica;f;SPD
Martin Schwanholz;Schwanholz;Martin;m;SPD
Rolf Schwanitz;Schwanitz;Rolf;m;SPD
Stefan Schwartze;Schwartze;Stefan;m;SPD
Rita Schwarzelühr-Sutter;Schwarzelühr-Sutter;Rita;f;SPD
Erik Schweickert;Schweickert;Erik;m;FDP
Detlef Seif;Seif;Detlef;m;CDU/CSU
Ilja Seifert;Seifert;Ilja;m;DIE LINKE
Till Seiler;Seiler;Till;m;BÜNDNIS 90/DIE GRÜNEN
Johannes Selle;Selle;Johannes;m;CDU/CSU
Reinhold Sendker;Sendker;Reinhold;m;CDU/CSU
Kathrin Senger-Schäfer;Senger-Schäfer;Kathrin;f;DIE LINKE
Patrick Sensburg;Sensburg;Patrick;m;CDU/CSU
Raju Sharma;Sharma;Raju;m;DIE LINKE
Bernd Siebert;Siebert;Bernd;m;CDU/CSU
Carsten Sieling;Sieling;Carsten;m;SPD
Thomas Silberhorn;Silberhorn;Thomas;m;CDU/CSU
Werner Simmling;Simmling;Werner;m;FDP
Johannes Singhammer;Singhammer;Johannes;m;CDU/CSU
Petra Sitte;Sitte;Petra;f;DIE LINKE
Judith Skudelny;Skudelny;Judith;f;FDP
Hermann Otto Solms;Solms;Hermann Otto;m;FDP
Jens Spahn;Spahn;Jens;m;CDU/CSU
Joachim Spatz;Spatz;Joachim;m;FDP
Max Stadler;Stadler;Max;m;FDP
Torsten Staffeldt;Staffeldt;Torsten;m;FDP
Carola Stauche;Stauche;Carola;f;CDU/CSU
Frank Steffel;Steffel;Frank;m;CDU/CSU
Sonja Amalie Steffen;Steffen;Sonja Amalie;f;SPD
Erika Steinbach;Steinbach;Erika;f;CDU/CSU
Peer Steinbrück;Steinbrück;Peer;m;SPD
Dorothea Steiner;Steiner;Dorothea;f;BÜNDNIS 90/DIE GRÜNEN
Kersten Steinke;Steinke;Kersten;f;DIE LINKE
Frank-Walter Steinmeier;Steinmeier;Frank-Walter;m;SPD
Christian Freiherr von Stetten;Freiherr von Stetten;Christian;m;CDU/CSU
Dieter Stier;Stier;Dieter;m;CDU/CSU
Rainer Stinner;Stinner;Rainer;m;FDP
Gero Storjohann;Storjohann;Gero;m;CDU/CSU
Stephan Stracke;Stracke;Stephan;m;CDU/CSU
Christoph Strässer;Strässer;Christoph;m;SPD
Max Straubinger;Straubinger;Max;m;CDU/CSU
Wolfgang Strengmann-Kuhn;Strengmann-Kuhn;Wolfgang;m;BÜNDNIS 90/DIE GRÜNEN
Karin Strenz;Strenz;Karin;f;CDU/CSU
Hans-Christian Ströbele;Ströbele;Hans-Christian;m;BÜNDNIS 90/DIE GRÜNEN
Thomas Strobl;Strobl;Thomas;m;CDU/CSU
Lena Strothmann;Strothmann;Lena;f;CDU/CSU
Sabine Ursula Stüber;Stüber;Sabine Ursula;f;DIE LINKE
Michael Stübgen;Stübgen;Michael;m;CDU/CSU
Alexander Süßmair;Süßmair;Alexander;m;DIE LINKE
Kerstin Tack;Tack;Kerstin;f;SPD
Kirsten Tackmann;Tackmann;Kirsten;f;DIE LINKE
Peter Tauber;Tauber;Peter;m;CDU/CSU
Frank Tempel;Tempel;Frank;m;DIE LINKE
Harald Terpe;Terpe;Harald;m;BÜNDNIS 90/DIE GRÜNEN
Carl-Ludwig Thiele;Thiele;Carl-Ludwig;m;FDP
Wolfgang Thierse;Thierse;Wolfgang;m;SPD
Stephan Thomae;Thomae;Stephan;m;FDP
Franz Thönnes;Thönnes;Franz;m;SPD
Wolfgang Tiefensee;Tiefensee;Wolfgang;m;SPD
Antje Tillmann;Tillmann;Antje;f;CDU/CSU
Manfred Todtenhausen;Todtenhausen;Manfred;m;FDP
Florian Toncar;Toncar;Florian;m;FDP
Serkan Tören;Tören;Serkan;m;FDP
Markus Tressel;Tressel;Markus;m;BÜNDNIS 90/DIE GRÜNEN
Jürgen Trittin;Trittin;Jürgen;m;BÜNDNIS 90/DIE GRÜNEN
Axel Troost;Troost;Axel;m;DIE LINKE
Hans-Peter Uhl;Uhl;Hans-Peter;m;CDU/CSU
Alexander Ulrich;Ulrich;Alexander;m;DIE LINKE
Arnold Vaatz;Vaatz;Arnold;m;CDU/CSU
Rüdiger Veit;Veit;Rüdiger;m;SPD
Johannes Vogel;Vogel;Johannes;m;FDP
Volkmar Vogel;Vogel;Volkmar;m;CDU/CSU
Stefanie Vogelsang;Vogelsang;Stefanie;f;CDU/CSU
Kathrin Vogler;Vogler;Kathrin;f;DIE LINKE
Ute Vogt;Vogt;Ute;f;SPD
Daniel Volk;Volk;Daniel;m;FDP
Marlies Volkmer;Volkmer;Marlies;f;SPD
Johanna Voß;Voß;Johanna;f;DIE LINKE
Andrea Astrid Voßhoff;Voßhoff;Andrea Astrid;f;CDU/CSU
Johann Wadephul;Wadephul;Johann;m;CDU/CSU
Sahra Wagenknecht;Wagenknecht;Sahra;f;DIE LINKE
Arfst Wagner;Wagner;Arfst;m;BÜNDNIS 90/DIE GRÜNEN
Daniela Wagner;Wagner;Daniela;f;BÜNDNIS 90/DIE GRÜNEN
Beate Walter-Rosenheimer;Walter-Rosenheimer;Beate;f;BÜNDNIS 90/DIE GRÜNEN
Marco Wanderwitz;Wanderwitz;Marco;m;CDU/CSU
Halina Wawzyniak;Wawzyniak;Halina;f;DIE LINKE
Kai Wegner;Wegner;Kai;m;CDU/CSU
Harald Weinberg;Weinberg;Harald;m;DIE LINKE
Marcus Weinberg;Weinberg;Marcus;m;CDU/CSU
Peter Weiß;Weiß;Peter;m;CDU/CSU
Sabine Weiss;Weiss;Sabine;f;CDU/CSU
Ingo Wellenreuther;Wellenreuther;Ingo;m;CDU/CSU
Karl-Georg Wellmann;Wellmann;Karl-Georg;m;CDU/CSU
Katrin Werner;Werner;Katrin;f;DIE LINKE
Guido Westerwelle;Westerwelle;Guido;m;FDP
Heinz Peter Wichtel;Wichtel;Heinz Peter;m;CDU/CSU
Andrea Wicklein;Wicklein;Andrea;f;SPD
Annette Widmann-Mauz;Widmann-Mauz;Annette;f;CDU/CSU
Heidemarie Wieczorek-Zeul;Wieczorek-Zeul;Heidemarie;f;SPD
Dieter Wiefelspütz;Wiefelspütz;Dieter;m;SPD
Wolfgang Wieland;Wieland;Wolfgang;m;BÜNDNIS 90/DIE GRÜNEN
Klaus-Peter Willsch;Willsch;Klaus-Peter;m;CDU/CSU
Valerie Wilms;Wilms;Valerie;f;BÜNDNIS 90/DIE GRÜNEN
Elisabeth Winkelmeier-Becker;Winkelmeier-Becker;Elisabeth;f;CDU/CSU
Josef Philip Winkler;Winkler;Josef Philip;m;BÜNDNIS 90/DIE GRÜNEN
Claudia Winterstein;Winterstein;Claudia;f;FDP
Volker Wissing;Wissing;Volker;m;FDP
Dagmar G. Wöhrl;Wöhrl;Dagmar G.;f;CDU/CSU
Hartfrid Wolff;Wolff;Hartfrid;m;FDP
Waltraud Wolff;Wolff;Waltraud;f;SPD
Jörn Wunderlich;Wunderlich;Jörn;m;DIE LINKE
Uta Zapf;Zapf;Uta;f;SPD
Dagmar Ziegler;Ziegler;Dagmar;f;SPD
Matthias Zimmer;Zimmer;Matthias;m;CDU/CSU
Sabine Zimmermann;Zimmermann;Sabine;f;DIE LINKE
Wolfgang Zöller;Zöller;Wolfgang;m;CDU/CSU
Manfred Helmut Zöllmer;Zöllmer;Manfred Helmut;m;SPD
Willi Zylajew;Zylajew;Willi;m;CDU/CSU
Brigitte Zypries;Zypries;Brigitte;f;SPD
